Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
-2.443276438372996,0.9568385654924918,-2.5084053077618464,-1.4033702787669682,1.894505672464113,1.3639587884232496,-2.4745733832267303,-2.6296101748399816,0.4319911963343964,1.4590017299111344,-2.8440094993568135,0.04364872013759654,-1.8804037976805612,0.2582758510651401,1.1953904971445064,1.3466775307819394,-0.7956061380975473,1.2562087466127365,-1.5838917551055307,1.7549491753730249,1.766534902822317,0.7536702920851206,-1.457297243686086,0.9636241216485276,3.4220584678042507,3.2513634385672976,2.65321763228074,1.7985795088221042,-0.9910351253600018,-1.8815121839103979,1.906599663636999,1.385323053065966,-2.091738404073246,0.10722058424304856,-3.0043857500497992,-0.47998721944477996,0.46996273752543394,-2.0216480036365,1.6111235814661469,-0.7407509744636798,-1.8575680820465548,-0.2689082201251773,-2.575653439006319,-1.4614580058586915,-1.2374283776854091,-2.4099843654296915,-3.2002358931849098,-1.5133238183439521,0.10640481875771707,-2.467940901053425,0.3061178726801014,0.7299713936000903,-1.6545363988450832,1.4578046589768903,-0.940609581814236,-0.805254706724656,-2.158945789359789,1.4641538855723453,-0.8844295103391913,-0.5463950296646761,-0.8806921410194759,0.26544886849535576,-1.7302889399774428,1.3702262247940364,-2.2113332926463207,0.5505355660942381,-3.7486681837173714,-3.136920397618019,1.1667755708474843,-2.7764425513915274,-0.4743123715823783,-0.71297742773319,-4.020972265221687,-1.47773907382783,2.301778128627804,-0.12277006289567416,-0.344413105772877,0.5049970146534006,-0.7748502433850541,1.4747452321408132,-3.063593216689788,0.5634743224406931,-1.5250671641540159,0.7422299286508283,-2.880218198651391,0.38059336790631615,2.2408175002097606,1.2953773839966432,-1.9870778859247962,0.14857087294703367,-2.2454309766544083,2.0164048887190953,-2.2770521160238295,0.6056122003120038,-1.696934535837586,-0.0011417349546788322,-2.733798758485067,-2.532194798368175,-0.6507533729683176,-0.222052167520996,-2.3641785629979597,-0.052973097098880935,-3.225981933386568,-2.8083920504475026,-2.0343192472530616,-3.8816715908543955,-2.7655192366297796,0.780629273081282,-1.8446245641035035,-0.688622629841242,-3.946671676721224,-1.6716426736117047,-0.28596034147165644,-3.166050463493774,-2.599244649698543,-2.208100059812496
-3.3019655031210178,0.32533282583716805,-3.1121740367909436,-3.1255419610534876,1.947878126737133,1.41061923848484,-2.891738701544122,-3.5765888763946716,0.6440266897754674,1.2195842121821026,-3.197576335939133,-0.7464859853188377,-2.566086471478807,-0.8324573411802906,0.9401221037763777,1.3021832576751329,-1.3189730148796046,0.8063973035728915,-2.4300135454861036,1.8410010087122766,-1.5165864168298486,-1.7387949672743856,-2.248667700696402,-1.3970029306520506,3.0575880904161257,2.5144450043051894,2.5744947312113067,2.038398654662396,-0.7942588022584306,-1.656448183949081,1.3449759483100405,0.5906563701084884,-3.541099262184335,-2.199630909009148,-4.516382723662073,-1.937972029715647,-1.1779809521415625,-1.7999617802686914,-0.11104147342693702,-0.41401334757199354,-1.6399140306779965,-0.43168394023016265,-3.4380026526036067,-2.5080684468413827,-3.474361663903077,-3.5547983854798604,-3.9677849465139974,-1.9835893893129695,-0.8394335536449679,-2.2564953709885756,-1.2956744569072902,0.3029488523143067,-2.084177944745961,1.7629006465274604,-0.9706432336458558,-1.110578747987402,-2.7972945875566015,1.2795012766414433,-1.9114419201768291,1.1363766032642344,-2.0722041426799582,0.3335778562890985,-2.22447743251536,1.0516488733834626,-2.7000968206741853,0.08911376447099609,-4.701195536941093,-4.505832980413304,1.5282900535802935,-2.3425436805345066,-2.1543328451037675,-1.6612561991197112,-4.160270775070057,-1.40400888442982,0.11859413237514153,-0.2947577528939998,-0.49735242653073053,-0.059799434107363915,-1.1510319387452514,0.6267371871142509,-3.6198825703578934,0.11753657722728056,-2.0519148194312096,0.7124304584337248,-3.2249567517217597,-0.24240538474425116,2.9709159462419694,0.9981964392100949,-2.0901809846028216,-0.16788959094198533,-2.938990479676104,1.1492979773824763,-2.5803735767743157,-0.8683445154119124,-1.3157383565866787,0.9398358531545014,-2.284806322407366,-2.759240869070623,-2.0441348997894897,-0.5781517102633867,-2.3487986097397084,-1.0108760402112826,-3.369216448253255,-3.0410212865313313,-3.981136930249942,-4.478036565426097,-2.416870734083418,1.096969120587058,-1.3185601517062913,-0.7626891008801924,-3.6570796530993848,-2.8966879606258487,-0.7164376840628259,-3.1478280990958094,-2.633345131216315,-1.2025320031440616
-3.9504004152247827,-0.37198628151101776,-3.3942146484933273,-3.8258209920360797,2.1518086982877556,1.773199366562004,-3.1345812527551233,-4.023746458737562,0.8898117773282889,1.322191719780259,-3.5294217770584644,-1.305331106658173,-2.6091405794056506,-1.0831001493587826,1.1563937302581866,1.1997032237944611,-2.1256751607843833,0.42469403883675316,-3.5555446144431935,1.2951096909664432,-3.2986666185410884,-2.8230612880909414,-2.5921057599447157,-2.5388708271274947,3.0361205943657517,2.4670389825802777,2.9220084805972357,2.2737279263294337,-0.47063372427229316,-1.437757677791942,0.7500934988873573,0.2564968758259496,-4.077582720931696,-3.2115592135778095,-4.777197383605382,-2.073556105066108,-0.6248925568017271,-2.317437790871851,-1.0169250878708587,-1.9793336928741363,-0.06604110942733434,-1.226635131440586,-3.4593273020217725,-2.16957450356068,-2.750950996311697,-3.171120640356479,-3.8464300714979562,-1.6294578800165336,-1.2619730327252092,-2.5896148201082934,-1.3907862415365815,0.488698610225857,-3.2997491477826135,1.6994205464596506,-1.2511232491854343,-0.5347847025999238,-3.4194257527095573,0.824785315343651,-0.11963303492817519,0.7998222766784523,-2.4422484627832977,-0.07049751959097614,-2.596483839866851,0.7438978275082835,-2.913092087095537,-0.5641600278175477,-4.628625238945673,-4.746426570463965,1.1537947994746784,-3.3824363330526004,-2.765344440556641,-1.6958951676654974,-4.3580363200152314,-1.867643207085668,0.11662493454326134,-1.4518392541502168,-0.8377138821893351,-0.4129308415028752,-1.240147562142079,0.2741792984057239,-3.455651538865592,-0.04630531948138717,-0.7565748165941596,0.7246558821125422,-2.9971230750047764,-0.43369073047273043,2.784985801884169,1.1259284368401776,-1.995277151195336,0.18346296458695469,-2.7300318414194837,1.526395132187812,-2.174723885927354,0.014768603588504419,-1.5179552662022675,-0.13492468953650957,-2.3405166860976068,-2.8186668676613387,-2.095807258438568,-0.4600544899511851,-1.8940146952791022,-0.3560765647723057,-3.0837124420760706,-2.59800491769558,-3.824758129936089,-3.9801127188298486,-1.4703063416560864,1.6352005430055874,-1.6688420653268454,-1.4390329285253023,-3.0717340734382517,-2.4820426356190817,-0.47449056450428767,-3.545930978443204,-2.9884231609888685,-0.9316960646777025
-3.6392904742755303,-0.1864984911858066,-3.1726448668567864,-4.012824082594465,2.2521807764728408,1.9528170130356461,-2.885054259406077,-3.800123805653122,0.24123262092026032,1.1917976273658721,-3.263680124676432,-1.163509578690011,-2.480492186062455,-1.0929567659523607,1.128627044975221,1.2045521197343891,-2.0880538802369566,0.5200184460769203,-3.639807990833878,0.5133441514782182,-1.85773212545278,-2.3772878304240725,-2.6955485831022927,-3.164617203866117,2.349518512355451,2.089343764664864,2.610437693486178,2.1193361197587706,-0.6706981775407493,-2.4671765130132357,1.459545145823564,0.40877208841042173,-3.673687465430837,-2.908119961259745,-4.5133134761586255,-1.79370223525241,-1.5126310649149164,-1.8401359033766616,-1.2474111832410684,-1.1040063361256096,-0.3600041509171536,-2.6045505295386717,-2.2584799177753347,-1.4414976750509922,-2.4521509379587507,-2.479830937484563,-2.500092176473226,-0.4752295279126285,-0.08698825051364062,-1.9879224520991743,-0.6048264039319763,-0.785302446754414,-1.1934576666587724,1.9281726251180988,-1.0482439951923068,-0.06937292454021801,-2.9761437828438773,1.1276441117677756,-0.7169026633443969,0.6876375011498582,-1.669147569953309,0.25370249128955,-2.2669950079465315,0.9405461313316289,-2.3221600979387365,-0.5250790667561013,-3.6339058520036587,-3.8674350957985424,1.5555496734631973,-2.305927742065564,-2.852482431921901,-2.0878780253975595,-3.110100587291348,-0.8695306075481122,-0.2102619055450813,-1.1264353148576485,-0.08391599167830667,0.2960045116892831,-0.2678392285699416,0.32144887318839543,-2.874421841435364,0.11055449240746197,-1.2167886886989874,0.7364992613013853,-2.597384364943876,-0.2921458669147593,2.1483303975536416,1.2171057830458094,-1.8734328747560762,0.4163213593475723,-1.861953295578839,1.8916338858986355,-1.5814320737378078,1.4839671667316294,-1.5975565435815111,-0.6278980137728959,-2.4903121618757083,-3.221891646142229,-1.170741458651982,0.47190858092322624,-1.6302745646174832,0.4941429098643316,-2.796868125404172,-2.260741603271935,-3.1875309154754996,-3.888621411328078,-1.6446305929292675,0.7072153319391384,-2.501563537633664,-1.8920078724581986,-2.635855344678719,-1.1117817804681807,0.06271583212590402,-3.911865806353396,-3.1851775265716773,-2.22078687566735
-3.8561651233463787,-0.2765190745818121,-2.9897290620522683,-4.239509862878127,2.177764705278734,2.1211458409460002,-2.8232614393360684,-3.6029498861044638,-0.6196265912049504,1.0745656014433786,-3.322211823901173,-1.3097449070515497,-2.5549789426721197,-1.177657957879846,0.3620197161849219,1.0499904211725173,-2.2480749520098473,0.4563143133356674,-3.481745317473567,1.0296551515136798,-1.8536708670167725,-2.0545267592355603,-2.9709535988101314,-3.6500822285045627,1.914920981202828,1.9239130957488855,2.098543494348577,2.0970663438594643,-0.8405849028327124,-2.710265550139579,1.038097812850665,0.1535701117642437,-3.700184324230093,-2.9492124621332647,-3.7026752460064047,-1.272124802530105,-1.6065328876036333,-2.76351626662505,-1.3835050512896974,-2.1223843681772068,0.6684329204896106,-1.4053098753697617,-1.680312296539097,-1.218666720111379,-2.9776269026484323,-2.817103768297516,-2.6477269203111136,-0.766140907237038,-0.5875350180394489,-2.886380476339662,-0.19381988334975248,-0.07763624949358139,-1.7954966857378267,1.6510414393595134,-1.9384126739723464,-1.0827490369520114,-3.1059986551459833,1.1791187000488923,-0.454686728917764,-0.32202547860748804,-0.8511346590195119,0.15033437187836526,-2.2345026292486065,1.0615877768257993,-2.4853698854201314,0.07623481139392672,-2.964976472620676,-3.812344165157109,1.5237467835998075,-2.6867335021426118,-2.8113532999974793,-2.2856458116248355,-3.2973228963993804,-0.836207710560355,-1.1206877031405154,-2.309355342310828,-0.6263503115625197,0.578224566842905,-0.29097136911125504,0.38442982526271213,-2.9050877894075224,-0.0015840033638046015,-2.2479270376347458,0.5439965939213796,-2.846488820607485,-0.440454932665436,1.2757970337358,0.43731972651438167,-2.5903627870973507,-0.591689553559572,-2.0023464004777636,1.6396170835075445,-1.8611998767915254,1.0496667899171581,-2.7910812863982835,-1.7015343299547867,-2.705352589754995,-3.3218500513803892,-1.3490297502724795,-0.1366563386954911,-1.6984416455841378,-0.0642213702683585,-3.0118539287536796,-2.1722836000826065,-3.2514316595222743,-3.7556950982173203,-1.9031301057206944,1.6013806375356259,-2.6657982810161953,-1.581318517626391,-2.4665788357897287,-1.1776353520650769,0.25941569815661697,-3.388623628640368,-3.1624438722264694,-2.0012498013096893
-4.075175416425814,-0.6768459042722674,-3.241102055772227,-4.766066192275892,2.3360897095587614,2.2802763722492547,-2.9431221613380933,-3.8145105131153687,-0.5663120149995008,1.1874574477341255,-3.2867280175723015,-1.5875243741441167,-2.5635831328970045,-1.3108756070401666,0.6393163465441852,1.1211159362291916,-1.7737594323303991,0.29230224811252836,-3.622184278124712,0.7780303709904492,-2.2264943914404323,-1.8705939527869675,-3.2663899820519036,-4.563776562967858,1.7015579232357436,2.0640060633981028,2.6131724840940542,2.3326350754824143,-0.36709415879329665,-1.9124833803652133,1.134507333465421,0.26707154336654626,-4.145193006390704,-3.4683024421759576,-3.690969278783988,-1.5141089370120921,-0.3971306890037624,-1.8107858963392338,-0.7131793533854891,-1.1086740165098081,0.11866133257065378,-1.1796951563405453,-1.6127597289569882,-1.365398913846608,-3.3837997587398356,-3.350042681099797,-3.1144472829444743,-1.0466473068368762,-0.26575495320140946,-2.3982009718390516,-1.1748103840209374,0.018267158123794956,-2.1761232637743313,1.36300398090206,-2.337810463799069,-1.609707291339983,-3.3295743752489786,0.7897084490911414,0.4120826098813773,-1.3316884583648343,-2.7700678086009676,0.3312285808479324,-2.4075267835822025,0.24606525329842988,-2.6810484635145535,-0.5099796045278087,-2.909958060652034,-4.243964437472635,1.1784582650830162,-3.9774453331729895,-2.3345342112470266,-1.4389154693940132,-3.981035765838561,0.22225344257697097,-0.5660303138340235,-1.2532055840113319,-0.15931364747249285,0.8520706683398449,0.43105478811235665,0.6561282980822712,-2.6584339357284152,-0.07161742088906159,-2.2006092733197296,0.4664893180201906,-2.8660207977830523,-0.6450169915349401,1.6443115357920035,0.8847654025380464,-2.7777213227275706,-0.7629850211458,-2.222094857341445,1.291083207860278,-1.9981622770744967,-0.11845966867447212,-3.005164224939985,-0.7178361345001965,-2.6227720223612803,-2.8467650300384455,-1.7375517898985195,-0.7815915864068099,-1.9452377599442843,-0.7869604156509443,-2.967319878716534,-2.2545381569763787,-3.1448054913034804,-3.387442585522637,-3.239072965945133,0.8313591312862608,-2.19105722592605,-0.23408839178117952,-2.1427339921696125,-1.5839434460523611,0.2778497644087019,-3.189479217719721,-2.8522918736599028,-2.0718546895452925
-4.0500282082248305,-0.533115561034948,-3.229714447624342,-4.983940640495944,2.7098960404186507,2.3439118605948837,-3.048916639960573,-3.9316364414487732,0.3202262361238469,1.3287019892278664,-3.364659741752553,-1.5303060566358377,-2.6356162861284638,-1.45412510153352,0.8615732362981061,1.0478548970538977,-2.1744652589943017,0.43724943188763804,-3.678176282044452,0.7699630116148845,-2.1322731957255154,-2.658458999517518,-3.2650230120889554,-4.5887402584745995,2.609871533899368,2.2655633902492833,2.715629460796097,2.429376897668618,-0.9067859235270654,-1.4814758618552077,0.9328124951000556,0.5013591775435166,-4.169022861101672,-3.739037497517819,-3.6976074187332797,-1.6268495710959432,-0.5366514822893824,-1.5911812337541889,-2.0890517295378213,0.09888235581771106,0.04755522813950439,-1.3197579852680887,-1.45441807925434,-1.6170416558151943,-3.356143129019326,-4.096826920672859,-3.5453486897558335,-1.3825042473132791,-0.18612251291322784,-2.1897230983365175,-2.259496765407137,1.3912001513830272,-3.1949585268311784,1.5581982974101178,-2.7499850005375865,-2.333614269977925,-3.57483051005271,0.7044402945423562,-0.8480106305577133,-0.7707645807218642,-2.894439551042332,0.7118112023163707,-2.6196671073124738,0.9096645384929462,-3.2334508211439155,-0.1711299080518368,-2.790807757431647,-4.411775293952278,1.0389149728252907,-3.3348356130429737,-1.2052258431538074,-0.34053450097567395,-2.0314956119517933,0.1322553822085711,0.551161256106481,-0.9705967037324459,0.21463728517499767,0.15507265333918338,0.15574439412899568,0.47829176028960796,-2.640836598495471,-0.15486283966589215,-1.7331356894295613,0.6658687862195111,-3.1086764934803024,-0.793294595880057,2.775904380951539,0.6119309717727579,-2.895918523380897,-1.1287730216673555,-2.5758691714958406,1.183996690150325,-2.0249250449458858,-0.13225831115887532,-3.172277465649226,-0.832507238427447,-2.790533499442587,-2.429814137752674,-2.3724036114600624,-1.3188515206862252,-2.043089454085238,-0.06617107095105858,-3.1623261202917403,-2.2992971998684437,-3.165793418966918,-3.0018595078492845,-2.815481327337384,0.21146501029386489,-1.611103288356421,-0.07582003787691868,-2.1041084717460317,-1.4547691325353567,0.12576871782904195,-2.8475309715170782,-2.9762444175896494,-2.0542034674864005
-3.9044840690404063,-0.6353910473806628,-3.372698458180905,-4.947966317142772,2.6486903154936283,2.342824789177683,-3.1166029948927507,-3.9596495832146985,0.2961368519208616,1.2549661113538833,-3.4461287924204265,-1.6272807952056205,-2.6018460828758854,-1.4872652368803758,0.652891170460317,1.016224016285146,-2.7265052992491454,0.49027182254098106,-3.3111991809442656,1.5390512720843996,-2.5639849674709736,-2.3280828758327474,-3.057453880792338,-4.176358471837334,2.5294876875775345,2.454697070027736,2.4605125655189597,2.1798596236141172,-1.192707108932321,-1.2669679610071372,0.43138096724677005,-0.1563851434809644,-4.0539953211378394,-3.5319448774131073,-3.874481728350012,-1.712751333121325,-0.46639160786627665,-0.3468241977985489,-1.4840961711517275,-1.0090053118361342,0.28081793657829496,-1.266761239187375,-1.5615315481708274,-1.5637547012481894,-3.1039797403911593,-3.378268350628827,-3.5954446896974126,-1.4539561650421,-1.71539039681516,-2.781028668377524,-2.0620625554365497,0.5442216356885401,-3.061096959422238,1.031341431649107,-2.250640969716988,-2.0514370556821544,-3.654325363955449,0.6334310287141065,0.49948792135691794,0.3510831745640761,-1.9290230935113548,-0.479271446353383,-2.5531606682696104,0.5538162991736089,-2.9005374880585078,-0.6689680597550717,-2.9875238954397023,-4.2235852720727625,0.7935783938791492,-3.3769439422822627,-2.255064363121951,-0.8565663144401334,-2.2225518250007332,0.2288130679682487,1.0992546526401694,0.39642282287385916,0.04526056078426391,0.05173450183088277,-0.9545983518535266,0.6112966956379702,-2.712811001700192,-0.25568610664248803,-1.4809903426003224,0.6888392111785276,-3.084029400415194,-0.720964824526469,3.3621340006297484,0.6245576738869391,-2.4449589335008017,-0.8076036693047836,-2.825603287046615,1.060617760501789,-2.1669130328608284,-0.07920490988270608,-3.1262966035605704,-0.7807928190092491,-2.90029946354516,-2.1410812967739155,-2.5934568425040787,-1.3180007527776407,-2.1930114137064454,-0.4954051750982008,-3.139701679141241,-2.527509425140556,-3.181346972503242,-2.8206363410668938,-2.390803556322925,0.7468093676113206,-1.9139110964679849,-0.3822213338590803,-2.61796702475697,-1.5031039655343654,0.01715436155969246,-2.974529694821274,-3.2636627618110348,-1.8556272193236911
-4.314153980985418,-0.6588417875930593,-3.5990600551272114,-5.104034659161331,2.628244151418886,2.2724996305723155,-3.200039460307951,-4.305954006945199,0.1580814470218112,1.5000919088159614,-3.728506933439516,-1.6687447448864496,-2.7081799481984574,-1.4872433332879393,0.6357992330750186,1.0333835806735974,-3.5963667824618177,0.4802081921109659,-3.3763702019000346,0.43459135757399897,-3.7604317027128387,-2.4891705247925224,-2.9395001457204115,-3.9122587286182973,2.840647116440653,2.434753847095177,2.3619624325424575,2.1043100075256382,-1.842441629919771,-1.4978079397285196,0.329768393138598,-0.6013828197630138,-4.311343897449589,-3.518190775881067,-4.33358405258521,-1.8888977167284553,0.15595770633615127,-1.9989589911039802,-1.0899029591433358,-0.37529905732679586,-1.0806038189938691,-1.2940167086003336,-2.0181731788148354,-1.7091205628150445,-2.260723677344238,-3.230920787663737,-3.699995610130313,-1.6398957868921116,-1.1888411998074868,-2.2127224366944507,-1.8035095813359536,0.8016465719246572,-3.1124781671145594,1.0928639955914727,-1.7882444148144456,-1.5196621205380834,-3.880120339106543,0.6173184844598965,-0.33814631361704317,-1.1073189073076464,-1.8453408717452462,-0.13392795650238665,-2.737463168928108,0.5997837275944109,-3.239511662058342,-0.6423219499404484,-3.531227318746878,-4.5736888827887485,0.8597803278804891,-4.464437314809984,-1.744087181756319,-1.229305300757818,-3.438538358218116,0.3875560024373356,0.7533322335105305,1.7925106914517404,-0.5180778485026253,-0.2944483057218331,-1.637944536368729,0.2804096721593234,-3.2932966940635766,-0.2892230058590008,-1.59986812308483,0.5744168864346805,-3.084991649938968,-0.9169693810870769,2.887032294995723,0.5092430960155424,-2.1140067716714697,-0.7902734158243604,-2.834166137278376,0.8617575299734797,-2.3860710380881667,-1.0458236066765467,-3.3749887931367346,-1.1613434923365675,-3.059787124236829,-2.891818980056936,-2.338825905478703,-0.9965700023105828,-2.235599546987247,-0.6132870779142712,-3.2411006357667573,-2.561667642084511,-3.4063113221459242,-2.7942446177490528,-2.853495961571413,0.5843088462068036,-3.0738189716071735,-0.26761321551459194,-3.213316812966932,-1.738762660047005,-0.057524554563785454,-3.237080496147069,-3.6022318283090775,-2.454113967258529
-4.388634565784483,-0.2444445137751613,-3.637901946285103,-4.938013949272365,2.5145289596655624,2.131263967213853,-3.202973471170073,-4.384247521640664,0.4381052532387202,1.6973342027322234,-3.6561022818961564,-1.714525842397307,-2.674310274538652,-1.5526255566920144,0.9035934866930034,1.2758283776700194,-3.6349024691336775,0.3830294498971351,-3.6322811968643416,0.5125758315376859,-2.465702513320082,-1.2309295430993978,-2.9331516217578804,-3.9115663611004003,2.424893276265541,1.9494960005763173,2.660738306452388,1.9950564026433326,-1.6020427799367918,-1.7554365095957436,0.6668446429915197,-0.6508095991564056,-4.346049587014118,-3.785359953047958,-4.873271968247888,-2.175526447450112,-0.47371728197673335,-2.0081178585483754,-2.3539135017236132,-0.8228472353381158,-1.3450838415731756,-1.4166663209584829,-2.3389743415560496,-2.25416828650763,-3.429351854750088,-3.875805576225224,-3.598097945684226,-1.6572483954833992,-0.6135374475213138,-2.7075791684602635,-2.237521479427802,0.035428820539524286,-3.52724620552556,1.3403524914505465,-1.9105914458484763,-1.3851964494298126,-4.189677966329817,0.7750217937089956,0.24455576288658287,-0.4342102541360821,-2.630725393458325,-0.11748302841424868,-2.9052957035248426,0.759338623927619,-3.5261028538691823,-0.4944360404692778,-4.239445919928313,-4.672971996275371,0.6618235644451156,-3.0382465114445036,-2.976915483591401,-1.3731902470250854,-3.8235262122714997,-0.09706912147061612,1.210842529778758,-0.03798739881201975,-0.863084657361755,-0.6589825436286337,-2.4957298134904558,0.492919594319777,-3.784113601850156,-0.279951712901544,-2.2086468113677644,0.7814849999944916,-3.189995019024607,-0.9880721576243116,3.3458830368555654,0.8388628059020201,-2.1103596958855366,-0.573818935828046,-2.7947707530618735,0.7972065814068634,-2.295519636840061,-0.4405865983960741,-3.422947326713035,-1.8634229472639277,-3.87180310419134,-3.4348886356561597,-1.995960218846776,-0.8226411379966516,-2.2108352154697224,-0.4456128192013207,-3.277521339609347,-2.58247667079748,-3.8242896494078584,-3.8352221578150267,-3.0196742197944446,0.8701282912152634,-3.4921043336595865,-1.498286105356443,-4.152586114931376,-2.0272941740629022,-0.17085216640895837,-3.830794879031838,-3.5077789072796373,-3.0680455344949316
